City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Arraial Do Cabo,BR,76.96,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
4,San Rafael Del Sur,NI,88.77,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
6,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
10,Tuyen Quang,VN,70.0,broken clouds,21.8233,105.2181,Khách Sạn Tuyên Thoa
13,Vaini,TO,77.23,light rain,-21.2,-175.2,Keleti Beach Resort
14,Sabang,ID,77.79,moderate rain,5.8933,95.3214,Hotel Citra
15,Kalmunai,LK,75.22,light rain,7.4167,81.8167,VS Villa
19,Akyab,MM,70.74,clear sky,20.15,92.9,ဟိုတယ် မန်မိုရီ
20,Butaritari,KI,80.02,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
24,Sotouboua,TG,78.84,overcast clouds,8.5667,0.9833,Auberge Médina
31,Bengkulu,ID,74.82,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
36,Atuona,PF,78.08,clear sky,-9.8,-139.0333,Villa Enata
39,Mahebourg,MU,73.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
41,Dicabisagan,PH,77.67,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
42,Natal,BR,79.45,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
50,Naze,JP,72.52,light rain,28.3667,129.4833,Shishime Hotel
53,Meulaboh,ID,74.07,moderate rain,4.1363,96.1285,Kost Pria
54,Hithadhoo,MV,81.32,broken clouds,-0.6,73.0833,Scoop Guest House
55,Puerto Baquerizo Moreno,EC,72.59,broken clouds,-0.9,-89.6,Hotel los Algarrobos
61,Sinnamary,GF,79.16,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
62,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
64,Nizwa,OM,70.39,clear sky,22.9333,57.5333,Orient Apartments
68,Santa Cruz,BO,82.45,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
70,Faanui,PF,76.86,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
71,Rikitea,PF,74.21,broken clouds,-23.1203,-134.9692,People ThankYou
74,Tefe,BR,91.51,few clouds,-3.3542,-64.7114,Aracati Hotel
75,Vila Do Maio,CV,75.99,broken clouds,15.1333,-23.2167,Hotel Marilu
79,Sao Filipe,CV,76.91,clear sky,14.8961,-24.4956,Hotel Xaguate
84,Cam Ranh,VN,73.36,light rain,11.9214,109.1591,OYO 598 Peony Hotel
86,Ambilobe,MG,73.9,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
89,Shenzhen,CN,76.98,few clouds,22.5455,114.0683,Grand Skylight
90,Inirida,CO,77.49,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
