City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,55.51,54,20,16.11,few clouds
1,Derzhavinsk,KZ,51.1,66.3167,35.31,77,100,25.59,overcast clouds
2,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,83,75,14.97,broken clouds
3,Cabra,ES,37.4725,-4.4421,59.9,47,15,3.56,few clouds
4,San Rafael Del Sur,NI,11.8485,-86.4384,88.77,83,96,5.61,overcast clouds
5,Olinala,MX,17.8333,-98.85,81.84,40,2,1.95,clear sky
6,Avarua,CK,-21.2078,-159.775,73.45,68,75,11.5,broken clouds
7,Longyearbyen,SJ,78.2186,15.6401,31.84,74,75,11.5,broken clouds
8,Barrow,US,71.2906,-156.7887,8.62,85,0,8.05,clear sky
9,Port Alfred,ZA,-33.5906,26.891,62.19,96,100,5.99,light rain
10,Tuyen Quang,VN,21.8233,105.2181,70.0,93,78,2.13,broken clouds
11,Katsuura,JP,35.1333,140.3,68.77,74,25,17.47,scattered clouds
12,Ankazobe,MG,-18.3167,47.1167,63.52,70,2,6.44,clear sky
13,Vaini,TO,-21.2,-175.2,77.23,85,74,21.61,light rain
14,Sabang,ID,5.8933,95.3214,77.79,85,100,7.38,moderate rain
15,Kalmunai,LK,7.4167,81.8167,75.22,87,100,3.38,light rain
16,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,72,96,11.16,overcast clouds
17,Albany,US,42.6001,-73.9662,53.06,75,74,4.99,broken clouds
18,Suhbaatar,MN,50.2314,106.2078,6.66,96,40,0.58,scattered clouds
19,Akyab,MM,20.15,92.9,70.74,86,0,7.27,clear sky
20,Butaritari,KI,3.0707,172.7902,80.02,75,100,14.61,overcast clouds
21,Tommot,RU,58.9564,126.2925,20.62,67,100,13.6,overcast clouds
22,Dikson,RU,73.5069,80.5464,-9.06,100,97,5.53,overcast clouds
23,Jamestown,US,42.097,-79.2353,39.02,76,100,8.99,moderate rain
24,Sotouboua,TG,8.5667,0.9833,78.84,63,92,3.06,overcast clouds
25,Nanortalik,GL,60.1432,-45.2371,27.73,79,99,5.32,overcast clouds
26,Hermanus,ZA,-34.4187,19.2345,62.8,88,0,12.37,light rain
27,Umea,SE,63.8284,20.2597,43.92,75,18,11.5,few clouds
28,Pevek,RU,69.7008,170.3133,0.36,95,100,7.0,light snow
29,Leningradskiy,RU,69.3833,178.4167,2.57,85,91,5.06,overcast clouds
30,Rawson,AR,-43.3002,-65.1023,63.64,55,93,19.44,overcast clouds
31,Bengkulu,ID,-3.8004,102.2655,74.82,94,100,3.47,overcast clouds
32,Bethel,US,41.3712,-73.414,64.71,63,0,6.91,clear sky
33,Saint George,US,37.1041,-113.5841,59.43,24,0,14.97,clear sky
34,Ushuaia,AR,-54.8,-68.3,60.46,31,0,9.22,clear sky
35,Srednekolymsk,RU,67.45,153.6833,-22.32,99,87,8.5,overcast clouds
36,Atuona,PF,-9.8,-139.0333,78.08,76,2,15.14,clear sky
37,College,US,64.8569,-147.8028,21.52,89,75,0.0,broken clouds
38,Jos,NG,9.9167,8.9,65.97,36,77,3.15,broken clouds
39,Mahebourg,MU,-20.4081,57.7,73.69,64,75,4.61,broken clouds
40,Mataura,NZ,-46.1927,168.8643,55.4,77,96,6.38,light rain
41,Dicabisagan,PH,17.0818,122.4157,77.67,89,5,3.31,clear sky
42,Natal,BR,-5.795,-35.2094,79.45,88,75,14.97,broken clouds
43,Chuy,UY,-33.6971,-53.4616,65.5,90,100,12.03,overcast clouds
44,Khatanga,RU,71.9667,102.5,-22.81,97,98,8.66,overcast clouds
45,Yorkton,CA,51.2167,-102.4677,12.04,73,0,10.36,clear sky
46,Bengbu,CN,32.9408,117.3608,52.0,73,100,10.0,overcast clouds
47,Nikolskoye,RU,59.7035,30.7861,49.91,71,48,15.73,scattered clouds
48,Ahipara,NZ,-35.1667,173.1667,63.73,68,99,7.9,overcast clouds
49,Green River,US,41.5286,-109.4662,32.18,61,100,1.86,overcast clouds
50,Naze,JP,28.3667,129.4833,72.52,88,42,13.69,light rain
51,Thompson,CA,55.7435,-97.8558,1.56,85,75,0.0,broken clouds
52,Vizinga,RU,61.0749,50.1031,37.85,100,100,2.37,overcast clouds
53,Meulaboh,ID,4.1363,96.1285,74.07,96,100,1.72,moderate rain
54,Hithadhoo,MV,-0.6,73.0833,81.32,72,57,15.66,broken clouds
55,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.59,83,75,9.22,broken clouds
56,Saldanha,ZA,-33.0117,17.9442,62.65,92,0,8.77,light rain
